sentence,label_actual,,
#Current Court# have considered the above Report filed by #respondants#.,['Fact'],,
"On 2nd May, 2017, #amicus# had briefed #Current Court# on the above Report filed by #respondants#.",['Fact'],,
It was pointed out on that day that use of Furnace Oil and Pet-Coke is prohibited in Delhi.,['Other'],,
use of Furnace Oil and Pet-Coke is prohibited in Delhi was further stated that These #respondants# had no objection if the ban is placed on the use of Furnace Oil and Pet-Coke.,['Fact'],,
"These #respondants# were, therefore, permitted to place such a ban.",['Fact'],,
Almost four months have gone by and #Current Court# are told that none of These #respondants# have taken any action in this matter.,['Observation_finding'],,
"To make the situation worse, there is no representation on behalf of the #respondants# nor is there any representation from the State of Rajasthan.",['Observation_finding'],,
Learned Counsel appearing for the State of Rajasthan wants #Current Court# to wait for two minutes so that Learned Counsel can get instructions from the State Government.,['Fact'],,
#Current Court# are not inclined to wait for two minutes so as to enable Learned Counsel to get instructions.,['Fact'],,
Instructions should have been obtained well before the date of hearing.,['Observation_finding'],,
"Since the #respondants# of U.P., Haryana and Rajasthan have no objection and the #respondants# of U.P., Haryana and Rajasthan have not taken any positive action, keeping the pollution level in NCR and particularly in Delhi, #Current Court# have no option but to place a ban on use of Furnace Oil and Pet-Coke in the #respondants#. a ban will come into effect from 1st November, 2017. #Current Court# expect the ""#respondants# to issue appropriate notification immediately. ",['Fact'],,
"Even if the ""#respondants# do not issue such notification then in compliance with the order of this Court, a ban will take effect from 1st November, 2017 in any case.",['Fact'],,
"The issue for #Current Court#'s consideration today is fixing standards for 34 industries with regard to the SO2, NOX and SOX emissions.",['Legal_issues'],,
"On 2nd May, 2017, #Current Court# had directed the #respondants# as well as the #respondants# (#respondants#) to fix the standards for the 34 industries mentioned in the order dated 2nd May, 2017.",['Fact'],,
"#Current Court# had further directed that the standards for the 34 industries mentioned in the order should be fixed on or before 30th June, 2017.",['Fact'],,
#Current Court# # had given opportunity to the #respondants# and the #respondants# to move an application for reasonable extension of time.,['Fact'],,
"#Current Court# # had also cautioned the above industries, as submitted by #amicus#, and agreed to by the learned Additional Solicitor General, that necessary steps would have to be taken by the above industries to ensure that the pollution standards that are fixed by the #respondants# are adhered to by 31.12.2017 as far as possible.",['Fact'],,
"the above industries should, therefore, start making the above industries plans with immediate effect since sufficient notice is being given to the above industries in this regard.",['Other'],,
"The matter was again taken up by #Current Court# on 20th July, 2017.",['Fact'],,
"On that date, #Current Court# had noted the submissions of the learned Additional Solicitor General that some more time is required to fix the standards of NOX and SOX and perhaps some other emissions and effluents.",['Fact'],,
the learned Additional Solicitor General had stated that the learned Additional Solicitor General will file an affidavit during the course of the day.,['Other'],,
"Several applications were also listed before #Current Court# on the day and #advocate_appellant#(s) had stated that Several applications did not press Several applications since Several applications have instructions to assure this Court that the industry would abide by whatever standards are fixed by the #respondants# by 31st December, 2017.",['argument_appellant'],,
The assurance was taken on record.,['Other'],,
"Today, learned the learned Additional Solicitor General has brought to #Current Court#'s notice that an affidavit was in fact filed by the learned Additional Solicitor General on behalf of the#respondants#on 20th July, 2017.",['Fact'],,
"In an affidavit, it was stated that insofar as 9 industries are concerned, SO2, NOX and SOX standards had already been fixed.",['Other'],,
This is confirmed by #amicus#.,['Fact'],,
"This is also brought to #Current Court#'s notice that emission standards for SO2, NOX and SOX are not required to be fixed in respect of two industries, viz., electroplating industries and stone crushing units since there is no emission of SO2, NOX and SOX.",['Fact'],,
#Current Court# have been told by learned Counsel appearing on behalf of the #respondants# that draft standards were fixed by the #respondants# in respect of 16 industries and these were communicated to the#respondants#on 27.06.2017.,['argument_respondant'],,
"#Current Court# are told by #advocate_respondant# that in respect of these 16 industries, the standards were communicated to the#respondants#on 27.06.2017.",['argument_respondant'],,
