sentence,label_actual,,
"Madan B.Lokur, J.",['Other'],,
"A large number of disparate prayers have been made in this public interest litigation initiated by the#appellants#s Under Article 32 of the Constitution, but for the time being #Current Court# are only concerned with the first prayer.",['Relief_Prayer'],,
"This is to the effect that this Court may issue a writ of mandamus or any other appropriate writ or direction to ban the use of fireworks, sparklers and minor explosives in any form, during festivals or otherwise.",['Fact'],,
"The public interest relief sought for is required to be considered from two perspectives: firstly, from preventing air pollution through the bursting of fireworks and secondly, by invoking the provisions of the Explosives Act, 1884 and the Explosives Rules, 2008 framed thereunder for preventing air pollution by restricting the possession and sale of fireworks in the National Capital Region.",['Fact'],,
Fireworks and air pollution in 2016,['Other'],,
"The prayer for a complete prohibition on the sale of fireworks due to pollution in the air caused by the bursting of fireworks was considered at an interim stage by this Court and a detailed order passed on 11th November, 20161.",['Fact'],,
"The manufacturers and suppliers of fireworks primarily based in Sivakasi (Tamil Nadu) moved an application on or about 5th July, 2017 for modification of that interim order.",['Other'],,
The modification application is registered as I.A. No. 52448 of 2017 and #Current Court# now propose to decide The modification application.,['Fact'],,
"The background for that interim order passed on 11th November, 2016 is that Diwali was celebrated in 2016 on 30th October.",['Other'],,
"On the next day, it was discovered that PM2.5 levels in the air had crossed 700 æg/m3 being among the highest levels recorded in the world and about 29 times above the standards laid down by the World Health Organization (WHO).",['Other'],,
#Current Court# need not delve into the details given in that interim order since there is no dispute that the air in Delhi and in most parts of the National Capital Region (NCR) was stiflingly polluted.,['Fact'],,
This resulted in many falling sick and other having to purchase face masks for personal use and install air purifiers in buildings.,['Other'],,
The conclusion that the air in the NCR and particularly in Delhi was polluted is not only based on the above information but is also based on the statutory standards or the National Ambient Air Quality Standards laid down in #respondants#.,['Fact'],,
"the National Ambient Air Quality Standards are in Schedule VII of the Environment (Protection) Rules, 1986.",['Other'],,
Broadly stated the presence of PM2.5 should range between 40 and 60 μg/m3 and the presence of PM10 should range between 60 and 100 æg/m3.,['Other'],,
"For the purposes of a lay person understanding this, it would be enough to say that air quality index or AQI is dependent on eight pollutants and the categorization based on the presence of these pollutants is as follows:",['Other'],,
"In Delhi, during November 2016 AQI was way above 500 on several days and had even crossed 700 the day after Diwali.",['Other'],,
"the National Ambient Air Quality Standards laid down in Schedule VII of the Environment (Protection) Rules, 1986 are as follows:",['Other'],,
* Annual arithmetic mean of minimum 104 measurements in a year at a particular site taken twice a week 24 hourly at uniform intervals.,['Other'],,
"** 24 hourly or 08 hourly or 1 hourly monitored values, as applicable, shall be complied with 98% of the time in a year, 2% of the time, * 24 hourly or 08 hourly or 1 hourly monitored values, as applicable, shall be complied with 98% of the time in a year, 2% of the time may exceed the limits but not on two consecutive days of monitoring.",['Other'],,
"Notes.-Whenever and wherever monitoring results on two consecutive days of monitoring exceed the limits specified above for the respective category, it shall be considered adequate reason to institute regular or continuous monitoring and further investigations.",['Other'],,
