sentence,label_actual,,
"Heard Sh. K. K. Venugopal, learned Attorney General for #respondants#, Sh. Tushar Mehta, #advocate_respondant# of #respondants#, Mr. A.N.S. Nadkarni, learned Additional Solicitor General, Mr. P.S. Narasimha, learned senior Counsel.",['Fact'],,
"#Current Court# have also heard the Chief Secretaries to the States of Punjab, Haryana, Uttar Pradesh and #respondants# in extensive detail, who have appeared today pursuant to #Current Court#'s order dated 04.11.2019.",['Fact'],,
"#Current Court# have also heard Mr. Charanpal Singh Bagri, senior Counsel senior Counsel appearing for the farmers.",['Fact'],,
#Current Court# have heard Mr. Bhure Lal as well.,['Fact'],,
"#Current Court# find that in advance, no serious groundwork was made by the concerned States where the stubble burning is taking place.",['Observation_finding'],,
This Court passed an order on 29.01.2018.,['Fact'],,
"The comments and recommendations made by #respondants# on the report of the Sub-Committee of the High Level Task Force on prevention of stubble burning in Punjab, Haryana and Western Uttar Pradesh was considered by This Court.",['Fact'],,
This Court This Court directed the High Level Task Force to adhere to the time lines decided upon by This Court and to ensure full compliance by all concerned.,['Fact'],,
This Court This Court also directed the #respondants# to give the publicity to the Report of the High Level Task Force so that the people are aware of the action being taken.,['Fact'],,
Publicity can be given through the print and electronic media as well.,['Other'],,
"Thus, in the pious hope that stubble burning and its impact on the environment shall be taken care of, This Court This Court disposed of the application.",['Fact'],,
"The Report of the Sub-Committee of the High Level Task Force the High Level Task Force on stubble burning in Punjab, Haryana and Western Uttar Pradesh has been placed on record, in which a suggestion was made to offer ` 100/- per quintal as incentive and disincentive both.",['Other'],,
The Chief Secretary to the States of Punjab has placed on record the action plan for control of burning of the crop in the #respondants# dated 01.10.2019.,['Fact'],,
"However, the same does not contain the proposal to pay ` 100/-.",['Other'],,
"The steps taken by the #respondants#, pursuant to the order passed by This Court on 04.11.2019 have been placed on record by the Chief Secretary, which #Current Court# take on record, in which a suggestion has been made to offer financial support in the form of operational cost of crop residue management equipment to play a positive role to achieve zero stubble burning.",['Fact'],,
It has been proposed that the amount of ` 100/- per quintal would come to ` 2000-2500/- per acre.,['Other'],,
It was also stated that there is a crop of approximately 24 quintals per acre.,['Other'],,
"Be that as it may, #Current Court# direct, in the facts and circumstances of the case, to take care of the stubble, which has not been burnt by the small and marginal farmers in the States of Punjab, Haryana and Western Uttar Pradesh and to provide the States of Punjab, Haryana and Western Uttar Pradesh financial support, quantified amount at ` 100/- per quintal of Non-Basmati Paddy, shall be given to the small and marginal farmers in the States of Punjab, Haryana and Western Uttar Pradesh within seven days from today by the #respondants# to those who have not burnt the stubble.",['Conclusion'],,
