sentence,label_actual,,
"B.L. Hansaria, J.",['Other'],,
"Nainital, a beautiful butterfly, is said to be turning into an ugly caterpillar.",['Other'],,
"According to the#appellants#, this is due to: (1) water pollution; (2) air pollution; (3) noise pollution; and (4) ""VIP pollution"".",['argument_appellant'],,
"This has naturally caused concern to all natural lovers and environmentalists, apart from the enlightened resident of Nainital.",['Fact'],,
"The concern has been felt to such an extent that a 'Save Nainital Workshop' was organised by none else than the Department of Tourism and Environment of the #respondants# in September, 1989.",['Fact'],,
"In a 'Save Nainital Workshop' many papers were presented on different aspects highlighting sudden rise in vehicle traffic, illegal construction, encroachment and squatting, clustering, noise pollution, vanishing greenery resulting in land slides on Cheena Peak, maintenance of drains and pollution in the lake which has virtually become a dumping ground for rubble and public sewage.",['Fact'],,
"Despite organising of such a workshop, nothing much seems to have been done to preserve the pristine beauty of Nainital.",['Other'],,
"Hence, by this petition #appellants#, who is a member of social action group called 'Nainital Bachao Samiti', has approached this Court seeking this Court assistance to pass such orders and give such directions as would prevent further pollution of already suffocating Nainital.",['Legal_issues'],,
"The environmental degradation has taken place, inter alia, because of increase in pollution, over-grazing, lopping and hacking of oak forests, forests fires, land slides, quarrying etc",['Other'],,
The pollution in the lake is because of both inorganic and organic causes.,['Fact'],,
"The nearby minerals, namely, manganese, lead salts, copper cobalt and zinc make the lake life toxic.",['Fact'],,
The discharge of waste water in the lake is another polluting factor.,['Fact'],,
"But the most potent source of pollution is, as mentioned in the booklet ""One Hundred and Fifty Years of Nainital"", whose co-author is none else than the#appellants# (the other author being one Deepak Singhal, who at the relevant time was District Magistrate, Nainital) ""human faeces from leaking sewers"". (Page 51).",['Fact'],,
The throwing of plastic bags and dumping of other material have added to the throes of the lake.,['Other'],,
"The growing traffic, with the growth of the town and big turn out of tourists, has contributed much to the environmental pollution.",['Other'],,
The increased traffic has in The increased traffic wake brought noise pollution.,['Other'],,
"The#appellants# has said something about ""VIP pollution"" also.",['argument_appellant'],,
"By an order dated 14.7.1994, this Court had felt this Court fit, after having gone through the petition, to appoint a Commissioner for local inspection and to give report on the following points:",['Fact'],,
(i) Whether construction of buildings in catchment area of Nainital lake is still going on.,['Other'],,
(ii) Whether ballia Ravine through which the outflow of the nainital lake water passes during the rains is in a dilapidated condition and on a fragile base.,['Other'],,
(iii) Whether hill cutting and destruction of forest is going on in catchment area of lake and in Naini Hill especially due to construction of buildings.,['Other'],,
"(iv) Whether water of lake is being polluted by human waste, horse dung and other wastes.",['Other'],,
"(v) Whether heavy vehicles ply on the Mall Road, bridle paths on the hill sides and other vehicles ply on Bara Bazar and Talli Tal Bazar.",['Other'],,
"The District Judge, Nainital, was directed to appoint an advocate of this Court as a Commissioner.",['Fact'],,
"The District Judge, Nainital appointed Shri P.C. Pande, who submitted He report on 2,9.94.",['Fact'],,
"A perusal of The District Judge, Nainital report shows that on local inspection his report was found that Nainital lake has turned dark green with an oily surface and is now full of dirt, human faeces, horse dung, paper-polythene bags and all sorts of other waste.",['Fact'],,
"Most of the sewer lines which leak, ultimately disgorge the faecal matter into Nainital lake through the drains which open into the faecal matter.",['Fact'],,
"a Commissioner also found that wherever the drains which open into it open at the shores of Nainital lake, big heaps of rubble used in construction of the buildings are collected and these materials ultimately settle down on the shores of the lake thereby reducing the length, depth and width of Nainital lake, besides polluting the water to a great extent.",['Fact'],,
It has been mentioned in the report that ecologists feel that if nothing was done to prevent this situation then Nainital lake will dry up.,['Fact'],,
"On the five questions required to be examined by the Commissioner, which have been noted above, Shri P.C. Pande findings are as below:",['Fact'],,
(i) Construction of buildings is going on unauthorisedly and in a big way.,['Other'],,
"a Commissioner has mentioned about illegal construction of office even by Kumaon Mandal Vikas Nigam of the State Government and Lake Development Authority, which constructed several triple-storeyed flats which have been declared as dangerous.",['Fact'],,
(ii) The Ballia Ravine was found to be in a very dilapidated condition.,['Other'],,
The importance of The Ballia Ravine from ecological point of view is that the over flow of the water from Nainital lake passes through the over flow of the water from the lake.,['Other'],,
But the revetment walls of the Nala have either given way or cracked at several places because of which the water seeps in the rocky wall endangering the water existence.,['Other'],,
"The point where Ballia Nala enters Ballia Ravine was found to be in shambles, as large cracks had developed owing to land slides and continuous soil erosion.",['Other'],,
In the year 1989 there was a big land slide causing death of 28 persons.,['Other'],,
The main cause of the land slides has been attributed to the blasting and felling of trees which was done to construct a motor road.,['Other'],,
Plying of heavy vehicles is said to be endangering the fragile hill slopes.,['Other'],,
(iii) Hill cutting and destruction of forests have been confirmed.,['Other'],,
The collusion of Forest Department officers has been mentioned as one of the causes of the illegal felling of trees.,['Other'],,
"It has been stated that the forest offence is compoundable and the maximum compounding penalty is Rs. 5000, whereas the approximate value of the illegally cut trees varies between Rs. 10,000 and Rs. 25,000 depending upon the quality of the tree.",['Other'],,
"As a person becomes owner of the tree after payment of the penalty, this has increased tree felling.",['Other'],,
"(iv) Whether water of lake is being polluted by human waste, horse dung and other wastes.",['Other'],,
"The horse stand having been allowed to be erected near Nainital lake and trotting around Nainital lake being permissible, the report states that horse dung in abundance enters and reaches Nainital lake.",['Other'],,
The tourists who enjoy boating in the lake throw left over edibles and polythene-bags in Nainital lake.,['Other'],,
(v) the report states about plying of heavy vehicles like buses on the Mall Road and the bridle paths.,['Other'],,
They also enter Malli Tall and Talli Tal Bazars.,['Other'],,
"The Commissioner has made certain recommendations, of which the following deserve to be noted:",['Fact'],,
(i) Group housing and commercial complexes should be banned absolutely with immediate effect.,['Other'],,
"Only small houses in flat areas, where there is no hill cutting or felling of trees, should be allowed for residential purposes.",['Other'],,
(ii) Heavy vehicles must be banned on the Mall Road and bridle paths.,['Other'],,
(iii) Immediate steps must be taken on a war footing to stabilize the Ballia Ravine and Ballia Nala.,['Other'],,
"Nainital lake must be cleaned and prevented from further pollution, for which purposes drains entering Nainital lake must be maintained and the horses must not be permitted to go around Nainital lake.",['Other'],,
(v) Felling of trees should be made cognizable offence.,['Other'],,
#Current Court# have duly considered the findings of the Commissioner and #Current Court# recommendations.,['Fact'],,
"According to us, there cannot be two opinions about some preventive and remedial measures to be taken on war footing, as any delay would cause further degradation and complicate the matters.",['Observation_finding'],,
"In #Current Court#'s considered view, the following steps deserve to be taken urgently:",['Observation_finding'],,
(i) Sewage water has to be prevented at any cost from entering Nainital lake.,['Observation_finding'],,
"(ii) So far as the drains which ultimately fall in Nainital lake are concerned, (i) Sewage water has to be seen that building materials are not allowed to be heaped on the drains which ultimately fall in the lake to prevent siltation of Nainital lake.",['Observation_finding'],,
(iii) Care has been taken to see that horse dung does not reach Nainital lake.,['Observation_finding'],,
"If for this purpose the horse stand has to be shifted somewhere, the same would be done.",['Observation_finding'],,
The authorities would examine whether trotting of horses around Nainital lake is also required to be prevented.,['Observation_finding'],,
(iv) Multi-storeyed group housing and commercial complexes have to be banned in the town area of Nainital.,['Observation_finding'],,
"Building of small residential houses on flat areas could, however, be permitted.",['Observation_finding'],,
(v) The offence of illegal felling of trees is required to be made cognizable.,['Observation_finding'],,
(vi) Vehicular traffic on the Mall has to be reduced.,['Observation_finding'],,
Heavy vehicles may not permitted to ply on the Mall.,['Observation_finding'],,
(vii) The fragile nature of Ballia Ravine has to be taken care of.,['Observation_finding'],,
The cracks in the revetment of Ballia Nala have to be repaired urgently.,['Observation_finding'],,
#Current Court# do hope that all concerned would take concerted steps.,['Fact'],,
"For this purpose, a monitoring committee, with one highly placed official of each of the concerned authorities/department, may be constituted.",['Other'],,
"2 or 3 leading men of the public having interest in the matter, like the#appellants#, may be co-opted in the Committee.",['Fact'],,
"the Committee the Committee may hold the Committee meeting, to start with every month, and then every two months.",['Other'],,
The petition is disposed of with the aforesaid directions and observations.,['Conclusion'],,
"#Current Court# part with the hope that the butterfly would regain the butterfly beauty and would attract tourists not only in praesenti but in future as well, which would happen if its beauty would remain unsoiled.",['Conclusion'],,
"Given the will, it is not a difficult task to be achieved; the way would lay it out.",['Other'],,
Let all concerned try and try hard.,['Conclusion'],,
Today is the time to act; tomorrow may be late.,['Other'],,
