sentence,label_actual,,
I. A. No. 401 and 403 of 2016,['Other'],,
These applications have been filed by SDMC and NDMC seeking permission for registration of diesel vehicles used for collection and transportation of garbage on diesel based HCV and MCV vehicles.,['Fact'],,
"#appellants#, learned #advocate_appellant#s submits that the #respondants#, New Delhi has by New Delhi order dated 11.12.2015 prohibited registration of the aforementioned category of vehicles since the #respondants#, New Delhi has by its order run on diesel fuel.",['argument_appellant'],,
"#advocate_appellant# submits that the #respondants#, New Delhi has by its order had moved an application before the #respondants# for modification of the #respondants# order but the #respondants# has declined to consider the same in view of the pendency of present proceedings before this Court.",['argument_appellant'],,
He submits that this Court this Court could clarify that pendency of these proceedings in this Court shall not prevent the #respondants# from considering and making suitable orders for vacation/modification of the #respondants# earlier orders so as to permit registration of the vehicles which the NDMC and SDMC use within NDMC and SDMC respective areas.,argument_appellant,,
#Current Court# see no reason to decline that prayer.,['Observation_finding'],,
the #respondants# is permitted to suitably consider and pass appropriate orders by modification/vacation of the #respondants# earlier orders in respect of the diesel vehicles which the NDMC and SDMC use for removal and transportation of solid waste in Delhi.,['Conclusion'],,
"These I.As. are disposed of with that observation, I. A. No. 447-448 of 2016",['Other'],,
Heard.,['Other'],,
"On the analogy of #Current Court#'s order dated 31.03.2016 passed in I.A. No. 393 of 2015, #Current Court# permit registration of vehicles mentioned in para 3 of the application purchased by and for use by the Delhi Police subject to the condition that the purchasers shall deposit ECC at the rate of 30% of the purchase value before registration. the purchasers shall deposit ECC at the rate of 30% of the purchase value before registration shall be made before the Delhi Pollution Control Committee and a proof of deposit produced before the Transport Authority at the time of registration.",['Conclusion'],,
I.As. are accordingly allowed and disposed of.,['Conclusion'],,
I. A. No. 454 of 2016,['Other'],,
"For the reasons stated in the application, #Current Court# permit registration of 192 and 58 (total 250) water tankers of the category mentioned in para 5 of the application purchased by Delhi Jal Board to augment supply of water in different parts of the capital.",['Conclusion'],,
#Current Court# make it clear that the vehicles in question shall be used by Delhi Jal Board entirely for providing drinking water to the residents of Delhi since the new vehicles are replacing the older vehicles earlier used for the said purpose.,['Conclusion'],,
The registration shall however be free from any environment cess charge on the same.,['Other'],,
I.As. are accordingly allowed and disposed of.,['Conclusion'],,
I.A. No. 397-398 of 2016,['Other'],,
"Objections, if any, shall be filed by the #amicus# within four weeks.",['Fact'],,
I.A. No. 407-408 of 2016,['Other'],,
"#advocate_appellant# seeks leave to withdraw these applications with liberty to approach the #respondants#, Delhi for appropriate relief and direction.",['Fact'],,
these applications are dismissed as withdrawn with liberty prayed for.,['Conclusion'],,
I. A. No. 449 of 2016,['Other'],,
Heard.,['Other'],,
For the reasons stated in the application #Current Court# permit registration of 10 diesel Vehicles used as water tankers and 2 tractors with trolleys for being used in the NDMC area for supply of water to the residents in the said area.,['Conclusion'],,
#Current Court# permit registration of 10 diesel Vehicles shall be without payment of any cess.,['Conclusion'],,
The application is allowed and disposed of accordingly.,['Conclusion'],,
I.A.. 391-392 of 2016,['Other'],,
Heard.,['Other'],,
#Current Court# clarify #Current Court#'s order dated 09.10.2015 and 16.12.2015 to the extent that vehicles running on CNG fuel shall not be liable to pay the environment compensatory cess while entering Delhi.,['Conclusion'],,
I.As. are accordingly disposed of.,['Conclusion'],,
I.A. No. 441-442 of 2016,['Other'],,
Post these application after the #amicus# has filed response to the same.,['Fact'],,
I.A. No. 450-451 of 2016,['Other'],,
Heard.,['Other'],,
#Current Court# see no reason to entertain these application which are hereby dismissed.,['Observation_finding'],,
#Current Court# make it clear that order regarding charges/recovery of ECC in terms of the direction issued by order dated 09.10.2015 and 26.02.2016 shall continue pending further orders from this Court and shall be applicable to all trucks entering Delhi unless otherwise exempted by any order of this Court.,['Conclusion'],,
I.A. No. 371-372 of 2016,['Other'],,
"#advocate_appellant#, learned Senior Counsel submits that since the#appellants# does not wish to pursue these applications as the#appellants# grievances stands redressed by the Government.",['argument_appellant'],,
these applications are accordingly disposed of as infructuous.,['Conclusion'],,
#Current Court# order accordingly.,['Conclusion'],,
I.A.. 432 of 2014,['Other'],,
Heard.,['Other'],,
The constitution of EPCA in terms of para 7 of this application is permitted subject of course to the conditions that Society of #respondants#n Automobile Manufacturers shall also be entitled to nominate one Member in the reconstituted EPCA.,['Fact'],,
Society of #respondants#n Automobile Manufacturers shall nominate Society of #respondants#n Automobile Manufacturers representative within four weeks from today.,['Fact'],,
The reconstituted authority shall have jurisdiction over the national capital region as defined in Clause (f) of Section 2 of the National Capital Region Planning Board Act 1985 and shall have the mandate to deal with all such matters as have been outlined in para 8 of the application.,['Conclusion'],,
I.A. is accordingly disposed of.,['Conclusion'],,
"I.A. Number 375, 376-377, 378-379, 380-381, 382, 383-384, 385-386, 387, 388, 389, I.A.. 390 IN I.A. No. 380-381, 394, 397-398, 399-400, 402, 404, 405-406, 409-410, 411-412, 413-414, 415-416, 418, 419-420, 421-422, 423, 424, 426-427, 428-429, 430-431, 433, 434, 435-436, 437-438, I.A. Number 439-440, 441-442, 443-444, 445-446, 452, 453 in W.P.(C) No. 13029/1985.",['Other'],,
"List all these applications along with connected writ petitions on Monday, 9th May, 2016 at 2.00 p.m.",['Other'],,
