sentence,label_actual,,,,,,,,,,,,,,,,,,,,
The issue relates to steps to be taken to check pollution by commercial traffic travelling from North #respondants# towards Jaipur and onwards via Delhi.,['Fact'],,,,,,,,,,,,,,,,,,,,
"It has been pointed out that even though alternative routes are available for such traffic, only reason for such traffic entering into Delhi is to save higher rate of toll tax in taking such alternative routes.",['Other'],,,,,,,,,,,,,,,,,,,,
"In the process, pollution caused by such traffic inflicts heavy cost on the health of the residents of Delhi.",['Other'],,,,,,,,,,,,,,,,,,,,
"To tackle this situation an ""Environment Compensation Charge"" (ECC) may be required to be imposed on all light and heavy duty commercial vehicles and the amount so collected ought to be exclusively used for augmenting public transport and improving roads, particularly for most vulnerable users, that is, cyclists and pedestrians in Delhi.",['Other'],,,,,,,,,,,,,,,,,,,,
Reference has been made to a report prepared by the Environment Pollution (Prevention and Control)),['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"Authority (EPCA) (constituted under the provisions of Environment Protection Act, 1986) on ""strategies to reduce air pollution from trucks entering and leaving Delhi"".",['Other'],,,,,,,,,,,,,,,,,,,,
"According to the said report, a study was commissioned by the Centre for Science and Environment to Messrs V.R. Techniche Consultants Pvt Ltd",['Other'],,,,,,,,,,,,,,,,,,,,
"According to a study, the commercial vehicles entering Delhi spew close to 30 per cent of the total particulate load and 22 per cent of the total nitrogen oxide load from the transport sector.",['Other'],,,,,,,,,,,,,,,,,,,,
About 23 per cent of the commercial vehicles entering Delhi and 40-60 per cent of the heavy trucks entering Delhi were not destined for Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
NH 71 and NH 71A are toll roads connecting Rewari to Panipat via Jhajjar and Rohtak and this alternative route obviates the need to travel through Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
"Thus, apart from the MCD toll, it was necessary to impose ECC to equalize the difference in cost in travelling through alternative routes.",['Other'],,,,,,,,,,,,,,,,,,,,
"#amicus# Shri #amicus_advocate#, #advocate_respondant# Shri #advocate_respondant# and Shri #advocate_respondant#, learned senior Counsel appearing for Delhi Delhi have jointly suggested that ECC ought to be imposed by Delhi at the following rates:","['argument_amicus','argument_respondant']",,,,,,,,,,,,,,,,,,,,
(i),['Other'],,,,,,,,,,,,,,,,,,,,
Category 2 (light duty vehicles etc.) and Category 3 (2 axle trucks),['Other'],,,,,,,,,,,,,,,,,,,,
Rs.,['Other'],,,,,,,,,,,,,,,,,,,,
700/-,['Other'],,,,,,,,,,,,,,,,,,,,
(ii) Category 4 (3 axle trucks) and Category 5 (4 axle trucks and above),['Other'],,,,,,,,,,,,,,,,,,,,
Rs. 1300/-,['Other'],,,,,,,,,,,,,,,,,,,,
The above charge shall not be imposed on,['Other'],,,,,,,,,,,,,,,,,,,,
(a) Passenger vehicles and ambulances,['Other'],,,,,,,,,,,,,,,,,,,,
"(b) On vehicles carrying essential commodities, that is, food stuffs and oil tankers.",['Other'],,,,,,,,,,,,,,,,,,,,
The charge will be collected by the toll operators without any deduction and handed over to Delhi on every Friday.,['Other'],,,,,,,,,,,,,,,,,,,,
Delhi shall furnish accounts of the receipts and the expenditure incurred to EPCA and to Delhi each quarter.,['Other'],,,,,,,,,,,,,,,,,,,,
Governments will provide large size bill boards at the exit points towards the alternative highways to inform commercial traffic of the diversions.,['Other'],,,,,,,,,,,,,,,,,,,,
