sentence,label_actual,,
"J.S. Khehar, J.",['Other'],,
"The#appellants#, while being engaged in the business of stocking iron ore, had allegedly violated certain norms prescribed by the Deputy Commissioner Under Section 22 of the Air (Prevention and Control of Pollution) Act, 1981 (hereinafter referred to as the 'Air Act').",['Fact'],,
"The allegation against The#appellants# was, that The#appellants# had illegally established iron ore stack yard(s) at various places in Uttara Kannada District.",['Fact'],,
"they had illegally established iron ore stack yard(s) at various places in Uttara Kannada District was alleged, that The#appellants# had not made provisions for pollution control measures, despite repeated requests and instructions given to The#appellants#, by the officials of the Karnataka State Pollution Control Board (hereinafter referred to as the 'Board').",['Fact'],,
"It was therefore, that CC No. 546/2006, CC No. 547/2006, CC No. 548/2006 and CC No. 549/2006 were filed before the Judicial Magistrate, First Class-II, Karwar.",['Other'],,
"The proceedings against The#appellants# were sought to be challenged by petitions filed Under Section 482 of the Code of Criminal Procedure, wherein The#appellants# The#appellants# prayed for quashing of the above proceedings.",['Fact'],,
"A number of similar criminal petitions, filed by the#appellants# and Others were sought to be disposed of by the High Court of Karnataka, Circuit Bench at Dharwad (hereinafter referred to as the 'High Court'), by a common order dated 7.1.2009.",['Fact'],,
"a common order dated 7.1.2009, is subject to challenge in these appeals.",['Other'],,
"A perusal of a common order dated 7.1.2009 reveals, that the High Court did not examine the merits of the controversy.",['Other'],,
"To dispose of the merits of the claim raised by The#appellants# before the High Court, the High Court relied upon an earlier order passed by the High Court on 17.04.2007, disposing of Criminal Petition No. 4760 of 2006.",['Fact'],,
"Based thereon, the challenge raised by The#appellants# before the High Court, was also sought to be rejected.",['Fact'],,
"The factual position indicated hereinabove is apparent from paragraphs 3 to 5 of a common order dated 7.1.2009, which are being extracted hereunder:",['Other'],,
"The allegations against the respective#appellants# is that, while being engaged in the business of stocking iron ore, the#appellants#s have violated the norms prescribed by the Deputy Commissioner and thus offence Under Section 22 of the Pollution Control Act, has been committed and the further allegation in the complaint is that the#appellants#s have illegally established and operating iron ore stack yard at various places in Uttara Kannada District without the previous consent of the Karnataka State Pollution Control Board (for short, 'the Karnataka State Pollution Control Board and that the#appellants#s have not provided any pollution control measures despite repeated requests and instruction given to#appellants#s by the officials of the Karnataka State Pollution Control Board.",['rationale'],,
"Based on the complaint lodged by the Karnataka State Pollution Control Board, learned Magistrate of the High Court directed issuance of process against the#appellants#s.",['Fact'],,
It is this order of the High Court that is called in question in all these petitions.,['Other'],,
"At the outset, #advocate_respondant#s submitted that the present petitions are liable to be dismissed as all the grounds urged in the present petitions by each one of the respective#appellants# have been considered by the High Court in a batch of petitions which were disposed of on 17.4.2007 in Crl. Petition No. 4760/06 and connected petitions.",['argument_respondant'],,
"Therefore, the present petitions are also liable to be dismissed following the aforesaid order of the High Court.",['Other'],,
