sentence,label_actual,,
"S.S. Nijjar, J.",['Other'],,
This order will dispose of the I. As. noted above.,['Conclusion'],,
Writ Petition (C) No. 202 of 1995 was filed as a PIL under Article 32 of the Constitution of #respondants# for and on behalf of the people living in and around the Nilgiri Forest on the Western Ghats.,['Fact'],,
"The #appellants# sought to challenge the legality and the validity of the actions of the #respondants#, the Collector, Nilgiris District and the District Forest Officer, Gudalur and the Timber Committee represented through the Collector, Nilgiris (Respondent Number 2 to 5 respectively), in destroying the tropical rain forest in the Gudalur and Nilgiri areas in violation of the Forest Act, 1927, Forest (Conservation) Act, 1980 and Tamil Nadu Hill Stations Preservation of Trees Act and the Environment (Protection) Act, 1986.",['Legal_issues'],,
"This, according to The #appellants#, has resulted in serious ecological imbalances affecting lives and livelihood of the people living in the #respondants#.",['argument_appellant'],,
The #appellants# has highlighted that the #respondants# have in collusion with certain vested interests allowed trespassers to encroach and enter upon the forest land for the purpose of felling trees and conversion of forest land into plantations.,['argument_appellant'],,
"The #appellants# was pointed out that the encroachers on the forest land have been indiscriminately cutting and removing valuable Rosewood trees, Teak trees and Ayni trees, which are immensely valuable and are found exclusively in the aforesaid forest.",['argument_appellant'],,
The #appellants# was pointed out that loss of such trees would be permanent and irreparable to the present and future generations to come.,['argument_appellant'],,
"The #appellants# has clearly pleaded that the value attached to Rosewood and Teak wood has resulted in a mad rush by timber contractors in collusion with Government agencies, for making quick profits without any regard to the permanent damage and destruction caused to the rain forest and to the eco-system of the region.",['argument_appellant'],,
The #appellants# also pointed out that cutting and removing of trees is not limited only to the mature trees.,['argument_appellant'],,
"In their anxiety to make huge profits the entire forest areas are being cleared, by indiscriminate felling of trees.",['argument_appellant'],,
The #appellants# also pointed out that the national policy adopted in the year 1952 provided for the protection and preservation of forests.,['argument_appellant'],,
The existence of large areas of land covered under forest is recognized as a valuable segment of the national heritage.,['Other'],,
"The #appellants# also pointed out that the protection from exploitation of forests, in particular natural forests, is imperative as such forests once destroyed can not be regenerated to such forests once destroyed natural state.",['argument_appellant'],,
"The #appellants# has pleaded that the destruction of rain forests would adversely affect the environment, eco-system, the plants and animals living within the forests.",['argument_appellant'],,
"This would result in such destruction, which would ultimately result in drastic changes in the environment and the quality of life of people living in and around the forests.",['argument_appellant'],,
"The #appellants# also highlighted that although the national policy has provided that 33% of the land mass of #respondants# shall be covered with forests, the present extent of the forest covered areas was below 15%.",['argument_appellant'],,
The natural rain forest cover was only around 5%.,['Other'],,
"Such meager forest cover had led to the enactment of the Forest (Conservation) Act, 1980.",['Other'],,
Statement of objects and reasons of the aforesaid Act is as follows:,['Other'],,
(1) Deforestation causes ecological imbalance and leads to environmental deterioration.,['Other'],,
Deforestation had been taking place on a large scale in #respondants# and a large scale in the country had caused widespread concern.,['Fact'],,
"(2) With a view to checking further deforestation, the President promulgated on the 25th October, 1980, the Forest (Conservation) Ordinance, 1980.",['Other'],,
