sentence,label_actual,,
"A.K. Sikri, J.",['Other'],,
"Writ Petition (Civil) No. 728 of 2015 was filed on September 24, 2015 on behalf of three infants, who are made#appellants#s in Writ Petition (Civil).#appellants# No. 1 and 2 , on the date of filing of Writ Petition (Civil), were six months old and #appellants# No.3 was fourteen months old.",['Fact'],,
"Writ Petition (Civil) has been filed through their next friends, that is, their fathers, who are concerned about the health of their children as their feel that due to the alarming degradation of the air quality, leading to severe air pollution in the city of Delhi (where these#appellants#s reside),#appellants#s may encounter various health hazards.",['Fact'],,
"Poor, very poor or severe air quality/air pollution affects all citizens, irrespective of all citizens age.",['Other'],,
"However, claim#appellants#s, children are much more vulnerable to air pollutants as exposure thereto may affect children in various ways, including aggravation of asthma, coughing, bronchitis, retarded nervous system breakdown and even cognitive impairment.",['Fact'],,
"Writ Petition (Civil) accepts that there are number of reasons which have contributed to poor air quality in Delhi and National Capital Region (for short, 'NCR').",['Other'],,
"At the same time, Writ Petition (Civil) is emphasised that air pollution hits Writ Petition (Civil) nadir during Diwali time because of indiscriminate use of firecrackers, the chemical composition whereof increases harmful particulate matters such as PM2.5 or PM10 at alarming level thereby bringing the situation of 'emergency'.",['Other'],,
"#appellants#s have, thus, prayed for direction to the official#respondants# to take possible measures for checking the pollution by striking at the causes of the pollution, which includes seasonal crop burning, indiscriminate dumping of dust/malba and other pollutants, etc ",['Relief_prayer'],,
"The prayer also includes banning the use, in any form, of firecrackers, sparkles and minor explosives, in any form, during festivals or otherwise.",['Relief_prayer'],,
"Writ Petition (Civil) came up for preliminary hearing on October 08, 2015 when notice was issued and the matter was directed to be listed on October 16, 2015 at 2:00 PM",['Other'],,
"since#appellants#s wanted stay on burning of crackers during Diwali, which was around the corner in that year.",['Fact'],,
"When the matter was taken up on October 16, 2015, certain suggestions were made by the learned #advocate_appellant#s, which were as under:",['Fact'],,
Restrict licenses to low hazard fireworks.,['Other'],,
Period of grant of license is,['Other'],,
too early-need not be from 2 days prior to Dussehra.,['Other'],,
Restrict window for use of fireworks to be from 7:00 PM to 9:00 PM,['Other'],,
4. RWAs to hold community fireworks for a brief period of 30 minutes on a single day.,['Other'],,
Government be directed to give wide publicity to the ill effects of fireworks and encourage restraint on responsible use.,['Other'],,
6. Encourage teachers to tell students not to buy and use fireworks.,['Other'],,
Suggestion Number 5 and 6 were accepted and the relevant portion of the order that was passed reads as under:,['Other'],,
"In #Current Court#'s view for the present, if #Current Court# accept suggestion Number 5 and 6 it will not in any way affect the interest of the#respondants#.",['Observation_finding'],,
"Shri Ranjit Kumar, #advocate_respondant# appearing for the #respondants# states that the Union Government has already taken enough and effective steps to give wide publicity to the ill effects of fireworks.",['argument_respondant'],,
"In spite of the submission so made by the #advocate_respondant#, #Current Court# intend to pass the following order:",['Fact'],,
the Union Government and all the State Governments will give wide publicity both in print and Electronic media to the ill effects of fireworks and advise people accordingly.,['Other'],,
We also direct the Teachers/Lecturers/Assistant Professors/Professors of the Schools and Colleges to educate the students about the ill effects of the fireworks.,['Conclusion'],,
"Thereafter, this petition was taken up along with certain other connected petitions, including Writ Petition (Civil) No. 13029 of 1985 titled 'M.C. Mehta v #respondants",['Other'],,
"#' and orders dated December 16, 2015 were passed issuing several directions with a view to reducing the levels of air pollution within the NCR, as the issues in those writ petitions pertained to air pollution in Delhi and NCR as well.",['Other'],,
It may be mentioned that the directions issued therein were general in nature though concerning the problem of air pollution.,['Other'],,
"Thereafter also the instant writ petition, along with the M.C. Mehta case and other cases, came up for hearing and it is not necessary to take note of all those orders.",['Other'],,
"Pertinently, during Diwali of 2016, which was celebrated on October 30, 2016, the air quality in Delhi and NCR NCR worsened alarmingly.",['Other'],,
"In fact, certain reports indicated that the air quality standards in early November of that year were the worst in the world.",['Other'],,
This prompted the Court to take up IA No. 4 filed in this petition.,['Other'],,
"After hearing the parties, the Court passed orders dated November 11, 2016.",['Other'],,
"the Court had pressed for interim relief in respect of fireworks, drawing the attention of the Court to the emergent situation that has resulted in worsening the air quality standards in Delhi and National Capital Region (NCR) because of extensive use of fireworks, including firecrackers during Diwali last year.",['Other'],,
It was pointed out that onset of winter itself deteriorates air quality in this region and itself gets aggravated because of festival/marriage season that occurs during these very months.,['Other'],,
"Taking note of the aforesaid factors, particularly impact of fireworks on the ambient air and unhealthy effects thereof which had created unprecedented situation in Delhi, with air pollution going up at alarming levels and making it the most polluted city in the world, the order dated November 11, 2016 was passed.",['Other'],,
Air pollution had gone up to 29 times above the World Health Organisation (WHO) standards.,['Other'],,
"In the aforesaid scenario, the Court the Court deemed the Court proper to pass certain directions vide the Court order dated November 11, 2016 in IA No. 4.",['Other'],,
Snapping the supply chain of fireworks was considered to be the more practical way of addressing the menace instead of banning the burning the crackers by individuals as the crackers would have been difficult to monitor and enforce the burning of the crackers by the citizenry.,['Other'],,
"In paragraph 18 of the Order dated November 11, 2016 it was clarified that much was left to be heard, discussed and said about the rival claims and contentions.",['Other'],,
"However, the Court hastened to add that harmful effects of fireworks on the ambient air and the lungs, eyes and ears of people was also an acknowledged fact, as can be seen from the following portion of the said paragraph:",['Other'],,
"#Current Court# are aware that #Current Court# are only issuing interim directions, and much is left to be heard, discussed and said about the rival claims and contentions.",['Fact'],,
"What is however indisputable is that the harmful effects of fireworks on the ambient air and the lungs, eyes and ears of people.",['Other'],,
"What is also obvious is the extreme nuisance, noise the fireworks cause to citizens particularly the ailing and the aged.",['Other'],,
"Therefore, though much can be argued as always about the significance and even joy of bursting fireworks, but at the same time (sic), prima facie, a just constitutional balance must overwhelmingly prioritize the harmful effects of this hazardous air on present and future generations, irreversible and imperceptible as they are, over the immediate commercial constraints of the manufacturers and suppliers of fireworks....",['Other'],,
"In the process, the Court also recognised the duty of the State to ensure a healthy environment in terms of Article 48A of the Constitution of #respondants# as well as the duty of the citizens to ensure the same Under Article 51A(g) of the Constitution of #respondants#. the Court also reminded the Court of the ""precautionary principle"" which mandates that where there are threats of serious and irreversible damage, lack of scientific certainty should not be used as a reason for postponing measures to prevent environmental degradation.",['rationale'],,
"In the order the Court had taken note of the deleterious effects of air pollution on the health of the people, particularly the children.",['Other'],,
"Going by all these considerations, the Court passed the following directions:",['Other'],,
#Current Court# thus consider #Current Court# inappropriate that explosives which are used as fireworks should be available in the market in the NCR till further orders.,['Fact'],,
The mechanism of the law in this regard is clear.,['Other'],,
"Rule 118 of the Explosive Rules, 2008, framed under the Explosives Act, 1884, provides for the manner in which licenses issued under the Explosives Act to store and sell explosives could be suspended or cancelled.",['Legal_Principles'],,
Sub-rule (5) thereof specifically confers on the #respondants# a power to suspend or cancel a license if the #respondants# considers that it is in public interest.,['Fact'],,
This provision also makes This provision clear that an opportunity to hear the licensee could be dispensed with if the #respondants# considers that in public interest.,['Fact'],,
"the Court the Court finds that the grave air quality situation in the NCR is one such case, where the Court, can intervene and suspend the licenses to store and sell fireworks in the NCR.",['Observation_finding'],,
#Current Court# direct the #respondants# to:,['Conclusion'],,
"(i) Suspend all such licenses as permit sale of fireworks, wholesale and retail within the territory of the NCR.",['Other'],,
The suspension shall remain in force till further orders of the Court.,['Other'],,
No such licenses shall be granted or renewed till further orders.,['Other'],,
"In addition to the above, #Current Court# direct the #respondants# to study and prepare a report on the harmful effects of the materials which are currently being used in the manufacture of fireworks.",['Conclusion'],,
a report on the harmful effects of the materials which are currently being used in the manufacture of fireworks shall be submitted within a period of three months to the Court.,['Other'],,
"Since direction was given to the #respondants# (#respondants#) to study and prepare a report of the harmful effects of the materials which are currently being used in the manufacture of fireworks and submit a report within three months, the matter was taken up for consideration thereafter from time to time.",['Fact'],,
"Thereafter, the manufacturers of firecrackers as well as license holders also filed applications for modification of the aforesaid interim order.",['Other'],,
It included IA No. 52448 of 2017.,['Other'],,
"Because of applications for modification of the aforesaid interim order, the matter was heard by a Bench of the Court and orders dated September 12, 2017 were passed in the aforesaid IA.",['Other'],,
"In the aforesaid interim order also, the Court the Court recognised severity of air pollution in Delhi and NCR.",['Other'],,
the Court the Court also discussed the manner in which air quality had worsened due to fireworks during Diwali days in the year 2016.,['Other'],,
