sentence,label_actual,,,,,,,,,,,,,,,,,,,,
Heard.,['Other'],,,,,,,,,,,,,,,,,,,,
"By #Current Court#'s order dated 16th December, 2015, #Current Court# had issued several directions with a view to reducing the levels of air pollution within the National Capital Region.",['Fact'],,,,,,,,,,,,,,,,,,,,
"One of several directions with a view to reducing the levels of air pollution within the National Capital Region required the authorities to divert traffic entering from two entry points into Delhi, namely, Kundli border on N. H.-1 and Rajokri on N.H.-8.",['Other'],,,,,,,,,,,,,,,,,,,,
"#Current Court# # had directed that heavy vehicular traffic on the said two highways that enters Delhi from Kundli border on N.H.-1 and Rajokri on N.H.-8, shall be diverted to bypass Delhi through such alternative routes as the transport/traffic departments of the governments concerned may stipulate.  ",['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# are today told by Mr. #amicus_advocate#, learned senior counsel appearing as#amicus#, that the said direction has been substantially complied with according to Mr. #amicus_advocate# instructions. ",['compliance'],,,,,,,,,,,,,,,,,,,,
"Mr. #amicus_advocate#, learned Additional Advocate General appearing for the #respondants#, also submits that the #respondants# Haryana has taken appropriate steps in the above direction and has diverted traffic away from Delhi by prescribing alternative routes.",['argument_amicus'],,,,,,,,,,,,,,,,,,,,
"Learned Counsel, however, prays for some time to file a detailed status report as to the precise steps taken in that direction and also the extent of heavy commercial traffic diverted away from Delhi. ",['Relief_prayer'],,,,,,,,,,,,,,,,,,,,
Learned Counsel may do so within three weeks.,['argument_amicus'],,,,,,,,,,,,,,,,,,,,
"Learned Counsel submit that vehicular traffic on N. H.-1 and N.H.-8 alone do not contribute to the problems of the capital region. Learned Counsel submit that heavy commercial traffic is also entering Delhi from several other entry points and directions. For instance, heavy commercial traffic is entering Delhi from N.H.-10 that connects Sampla and Bahadurgarh at Tikri entry point. Similarly, heavy commercial traffic is entering Delhi from N.H.-2 and N.H.-58 which connect Palwal to Faridabad and Ghaziabad to Meerut respectively. Heavy commercial traffic running on State Highway No. 57, connecting Ghaziabad to Bagpat, also enters Delhi at Mohan Nagar and Shahdara entry points.",['argument_amicus'],,,,,,,,,,,,,,,,,,,,
 Learned Counsel submit that heavy commercial traffic from these three highways should also be diverted to bypass Delhi and that this Court could direct the #respondants# of Uttar Pradesh and Haryana to take appropriate steps for such diversion.,['Fact'],,,,,,,,,,,,,,,,,,,,
"Mr. #advocate_respondant#, learned Solicitor General appearing for #respondants#, submits on instructions of the Ministry of Road Transport and Highways (MORTH) that the National Highway Authority of #respondants# (NHAI) shall take immediate and appropriate steps to ensure that no inconvenience is caused to those using such alternative routes.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
"In the circumstances and keeping in view the submissions made at the Bar, #Current Court# direct that heavy commercial traffic from N.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"H.-2, N.H.-10, N.H.58 and from State Highway No. 57 shall not be allowed to enter Delhi from the entry points mentioned above. Commercial vehicles that are Delhi bound shall however remain unaffected. #Current Court# further direct that the #respondants# and the NHAI shall take immediate steps for identifying and prescribing alternative routes for the heavy commercial traffic plying on the said highways with a view to bypassing Delhi. #Current Court# will appreciate if the #respondants# and NHAI lend a helping hand to the #respondants# for making the diversion possible and taking immediate steps necessary for the convenience of those making use of the above highways.",['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# further direct that Environment Pollution Control Authority (EPCA), constituted under the Environment Protection Act, shall convene a meeting of officers from the #respondants# concerned and the #respondants# apart from the Municipal Corporations/Municipalities concerned to examine the feasibility of setting up of way-bridges at all such places as same as entry points for bringing the traffic into National Capital Region and the NCT of Delhi.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"The EPCA shall in consultation with the representatives of the #respondants# concerned examine whether such way-bridges have to be set up by the #respondants#, the #respondants#, the NHAI or the local bodies concerned.",['Fact'],,,,,,,,,,,,,,,,,,,,
The modalities for setting up of the way-bridges can also be discussed by The EPCA suitably and a report in that regard submitted to this Court within three weeks from today.,['Fact'],,,,,,,,,,,,,,,,,,,,
"By #Current Court#'s Order dated 16th December, 2015, #Current Court# had directed that empty/unladen vehicles bound for Delhi, can enter Delhi on payment of the ECC stipulated by this Court.",['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# are today informed by #amicus_advocate# that implementation of the said directive commenced from 17th December, 2015.",['argument_amicus'],,,,,,,,,,,,,,,,,,,,
"Ms. Pinky Anand, learned A#advocate_respondant# appearing for the SDMC, however points out that the collection of ECC at the rates stipulated by this Court has begun but the performance of the toll contractor is not entirely satisfactory.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
The disclosure made by the toll collector as to the number of vehicles entering Delhi is not accurate according to #advocate_respondant#,['argument_respondant'],,,,,,,,,,,,,,,,,,,,
the toll contractor has besides defaulted in the payment of the contracted amount and encashment of the bank guarantees.,['Other'],,,,,,,,,,,,,,,,,,,,
#advocate_respondant# submits on instructions that the Corporation is examining whether the existing contractual arrangement for the collection of ECC at the rates stipulated by this Court should be terminated.,['argument_respondant'],,,,,,,,,,,,,,,,,,,,
#advocate_respondant# argued that these proceedings should not stand between the Corporation and any such termination.,['argument_respondant'],,,,,,,,,,,,,,,,,,,,
"#amicus_advocate#, on the other hand, submits that while the Corporation the Corporation is free to take whatever decisions are necessary in the circumstances, the collection of ECC at the rates stipulated by this Court ECC cannot be jeopardised leave alone abandoned.",['argument_amicus'],,,,,,,,,,,,,,,,,,,,
"#amicus_advocate# submits that the Corporation must, while taking any action against the existing contractor, put in place a suitable arrangement for collection of the toll and the ECC.",['argument_amicus'],,,,,,,,,,,,,,,,,,,,
#Current Court# do not propose to examine in these proceedings the validity of any action which the Corporation the Corporation may decide or take against the toll contractor on the basis of the alleged default committed by him.,['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"All that #Current Court# need say is that should the Corporation the Corporation decide to make any change in the present arrangement for collection of the toll and the ECC, the Corporation shall make sure that an alternative arrangement is put in place so that ECC and toll collection does not suffer.",['Fact'],,,,,,,,,,,,,,,,,,,,
#amicus_advocate# submits on instructions that the Authorities are also toying with the idea of putting in place Radio Frequency Identification Device (RFID) for a more effective and credible toll collection.,['argument_amicus'],,,,,,,,,,,,,,,,,,,,
"Mr. #advocate_respondant#, learned Solicitor General appearing for the #respondants#, however submits that there are some other options also available which are equally effective because of better technology.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
Mr. #advocate_respondant# submits that the issue is still being examined at the appropriate level and an appropriate decision to make recovery of toll and ECC leakage-free shall be taken.,['argument_respondant'],,,,,,,,,,,,,,,,,,,,
"#Current Court# leave it open to the authority concerned to examine the feasibility of any better arrangement in place of the existing system, if the present system is not satisfactory or effective in any manner.",['Fact'],,,,,,,,,,,,,,,,,,,,
#Current Court# only hope that an appropriate decision on the subject will not be delayed any further and would expect the Authorities concerned to file a status report on the subject by the next date of hearing.,['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# had also by #Current Court#'s Order dated 16th December, 2015 directed that vehicles registered in the year 2005 or earlier shall not qualify to enter Delhi even if vehicles registered in the year 2005 or earlier are Delhi bound.",['Fact'],,,,,,,,,,,,,,,,,,,,
The #respondants# and Union Territories were directed to evolve a suitable system for implementation of that direction.,['Fact'],,,,,,,,,,,,,,,,,,,,
#Current Court# are today informed by #amicus_advocate# that Ministry of Road Transport and Highways and the Transport Department in the NCT of Delhi are working out the modalities by which vehicles registered prior to 2006 (10 years older) could be identified and stopped from entering Delhi.,['Fact'],,,,,,,,,,,,,,,,,,,,
