sentence,label_actual,,,,,,,,,,,,,,,,,,,,
"A.K. Patnaik, J.",['Other'],,,,,,,,,,,,,,,,,,,,
"#Current Court# have heard #advocate_appellant#, #advocate_appellant#s, #advocate_respondant# in-person for#respondants# No. 1, Mr. v Prakash, #advocate_respondant# No. 2, #advocate_respondant#, learned Additional A.G. for the #respondants#, #advocate_respondant#, learned Counsel for the #respondants#, and #advocate_respondant#, learned Counsel for the #respondants#.",['Fact'],,,,,,,,,,,,,,,,,,,,
The High Court has by the impugned judgment inter alia directed that the industrial unit of the#appellants# be closedown immediately because of the environmental pollution caused by the industrial unit.,['Fact'],,,,,,,,,,,,,,,,,,,,
"On 01.10.2010, The High Court The High Court directed that the matter be listed on 18.10.2010 and stayed the impugned judgment of The High Court till then.",['Other'],,,,,,,,,,,,,,,,,,,,
"On 18.10.2010, The High Court issued notice and continued the interim stay.",['Other'],,,,,,,,,,,,,,,,,,,,
The High Court has continued the interim stay from time to time.,['Other'],,,,,,,,,,,,,,,,,,,,
"When the matter was taken up on 25.02.2011, The High Court The High Court",['Other'],,,,,,,,,,,,,,,,,,,,
"after hearing learned Counsel for the parties was of the view that an independent assessment of the present situation and condition of the industrial unit of the#appellants#s, and the#appellants#s effect with reference to environmental pollution by National Environmental Engineering Research Institute (NEERI), after a joint inspection with the officials of #respondants#, #respondants# and the PIL#appellants#s before The High Court, will help The High Court to arrive at a decision and accordingly directed NEERI to make a pollution and environmental impact assessment and submit NEERI report.",['Fact'],,,,,,,,,,,,,,,,,,,,
"Accordingly, NEERI carried out the inspection during 6th to 8th April, 2011 and 19th to 22nd April, 2011 and submitted NEERI report.",['Other'],,,,,,,,,,,,,,,,,,,,
"On 18.07.2011, The High Court The High Court directed the #respondants# as also the #respondants# to submit their comments/suggestions with reference to its report so that The High Court can have a clear view about the existing position.",['Fact'],,,,,,,,,,,,,,,,,,,,
"On 25.08.2011, The High Court after perusing the Status Report of the #respondants# directed the #respondants# to file a synopsis specifying the deficiencies with reference to its report and suggest control measures that should be taken by the#appellants#s so that The High Court can consider the direction to be issued for remedial measures which can be monitored by the #respondants#.",['Fact'],,,,,,,,,,,,,,,,,,,,
"5. the #respondants# has filed along with an affidavit dated 30.08.2011, a Chart of deficiencies and measures to be implemented by the#appellants#s-industry which is to the following effect:",['Fact'],,,,,,,,,,,,,,,,,,,,
Sl. No Deficiency,['Other'],,,,,,,,,,,,,,,,,,,,
Measures Suggested,['Other'],,,,,,,,,,,,,,,,,,,,
To improve the emission control efficiency in the process section,['Other'],,,,,,,,,,,,,,,,,,,,
"(1) Hoods with extraction system are to be installed for control efficiency in the process collection of fugitive emission at (i) smelter lance,",['Other'],,,,,,,,,,,,,,,,,,,,
"(ii) smelter feed port, (iii) rotary section holding furnace-slag granulation & (iv) matte tapping and to be connected to the control measures.",['Other'],,,,,,,,,,,,,,,,,,,,
"In view of the above additional emission load, the emission control measures of scrubbing system has to be enhanced.",['Other'],,,,,,,,,,,,,,,,,,,,
"One bag house at smelter is to be installed prior to scrubber, to control dust emission.",['Other'],,,,,,,,,,,,,,,,,,,,
"One bag house at smelter is to be installed prior to scrubber, to control dust emission.",['Other'],,,,,,,,,,,,,,,,,,,,
(4) Regulative measure for periodical soot blowing operation in waste heat recovery boiler is to be implemented to prevent sudden emission load of soot particulates.,['Other'],,,,,,,,,,,,,,,,,,,,
To improve fugitive emission control,['Other'],,,,,,,,,,,,,,,,,,,,
"(1) Ducts to collect all the fugitive emission and control measure of flue gas desulphurization system consisting of bag filter and 2 stage lime scrubber are to be provided, as per the engineering study carried out.",['Other'],,,,,,,,,,,,,,,,,,,,
(2) Gypsum conveyor belt is to be made fully closed so as to prevent fugitive emissions.,['Other'],,,,,,,,,,,,,,,,,,,,
(3) The unpaved roads within the industry premises should be pave to control the dust due to movement of vehicles.,['Other'],,,,,,,,,,,,,,,,,,,,
(4) The frequency of water sprinkling on roads is to be increased to 4 times per shift to reduce the re-suspended dust particles due to movement of vehicles.,['Other'],,,,,,,,,,,,,,,,,,,,
(5) Permanent water sprinklers are to be provided at gypsum pond area and roc phosphate area.,['Other'],,,,,,,,,,,,,,,,,,,,
To improve effluent treatment operation,['Other'],,,,,,,,,,,,,,,,,,,,
(1) The chemical treatment comprising coagulation-flocculation and settling is to be operated effectively to optimize the treatment efficiency so as to improve the performance of fluoride remove.,['Other'],,,,,,,,,,,,,,,,,,,,
"The existing reverse osmosis plant is to be operated to the maximum capacity of 1,600 kiloliters per day and maintained so as to recover, recycle and reuse the permeate.",['Other'],,,,,,,,,,,,,,,,,,,,
(3) Iron removal plant as a pretreatment facility to reverse osmosis system is to be installed for sustaining the membrane life and achieving optimum membrane performance.,['Other'],,,,,,,,,,,,,,,,,,,,
To improve disposal of rejects arising from effluent treatment Plant,['Other'],,,,,,,,,,,,,,,,,,,,
(1) The evaporation system along with drying facility must be expanded to cope up with the capacity of the reverse osmosis plant and improved to generate the concentrate in solid form.,['Other'],,,,,,,,,,,,,,,,,,,,
The reverse osmosis rejects stored in the temporary storage ponds must be taken for concentration and drying followed by disposal in secured landfill facility.,['Other'],,,,,,,,,,,,,,,,,,,,
"The temporary storage ponds provided for disposal of reverse osmosis rejects must be removed, in view of capacity augmentation of evaporator system.",['Other'],,,,,,,,,,,,,,,,,,,,
To improve raw material storage and handling,['Other'],,,,,,,,,,,,,,,,,,,,
(1) The raw material of copper concentrate is to be stored in a closed shed and received & transferred in closed conveyor system.,['Other'],,,,,,,,,,,,,,,,,,,,
To improve storm water drainage and collection system,['Other'],,,,,,,,,,,,,,,,,,,,
(1) The deposited silt in the storm water drains is to be removed and disposed off in secured landfill facility and this is to be practiced regularly to prevent any pollutant carryover and to avoid water logging.,['Other'],,,,,,,,,,,,,,,,,,,,
"(2) Additional rainwater collection reservoir with storage capacity of 30,000-50,000 cubic meters, is to be provided to prevent discharge of runoff from the critical storage/process plant areas, during peak precipitation, taking into consideration of the recent updated meteorological data and maximum industrial utilization.",['Other'],,,,,,,,,,,,,,,,,,,,
To improve solid waste disposal,['Other'],,,,,,,,,,,,,,,,,,,,
(1) The sold waste of slag is to be stored within the stipulated 10 hectares of land with a restricted stacking height of 12 meters so as to adhere with the safe load bearing capacity of 25 metric ton per square meter of the underlying soil/land in that area.,['Other'],,,,,,,,,,,,,,,,,,,,
"(2) slag is to be disposed for beneficial uses, such as road formation, shot blasting, abrasive production, cement aggregate making and other relevant areas of application, with approval from concerned agencies.",['Other'],,,,,,,,,,,,,,,,,,,,
The monthly disposal must be at least 50% more than the monthly generation quantities of both slag and gypsum.,['Other'],,,,,,,,,,,,,,,,,,,,
"To improve monitoring of air quality, effluent and water consumption",['Other'],,,,,,,,,,,,,,,,,,,,
"(1) Additional electromagnetic flow meters (12 Number ) are to be provided to assess (i) raw water consumption (4 Number ), (ii) rain water consumption (3 Number ) and (iii) waste water generation & waste water reuse (5 Number )",['Other'],,,,,,,,,,,,,,,,,,,,
Online pH meter is to be provided in reaction tanks of the effluent treatment plants to ensure optimum pH for effective precipitation of the pollutants.,['Other'],,,,,,,,,,,,,,,,,,,,
"(3) Fluoride concentration in groundwater at gypsum storage ponds is to be regularly monitored, recorded and ensured with the baseline fluoride concentration.",['Other'],,,,,,,,,,,,,,,,,,,,
(4) Health monitoring of the people living in the nearby villages is to be carried out at least once every six months.,['Other'],,,,,,,,,,,,,,,,,,,,
To improve greenbelt development,['Other'],,,,,,,,,,,,,,,,,,,,
"(1) Around 26 hectares of land within the industry premises is to be earmarked and developed as greenbelt, to the width of 25 meters.",['Other'],,,,,,,,,,,,,,,,,,,,
"(2) Greenbelt cover should be improved around the periphery of the smelter plant, slag yard, gypsum pond and secured landfill facility to act as barrier to control secondary fugitive emissions.",['Other'],,,,,,,,,,,,,,,,,,,,
"The native species (achrassapota, azadirachtaindica, cassia fistula, cassia slamea, casuarinas equisetifolia, eucalyptus sp. Flcusbenghalensis, ficuleligiosa, millingtoniahortensis, oringa sp. Peltophorumferrugineum, polyathialingifclia, pongarniapinnata, prospisjuliflora, tabefuiarosea, terminaliacatappa, thespesiapopulnea, etc.) should be planted in new areas of greenbelt cover.",['Other'],,,,,,,,,,,,,,,,,,,,
"#Current Court# direct the #respondants# to issue directions, in exercise of the #respondants# powers under the Air (Prevention and Control of Pollution) Act, 1981 and Water (Prevention and Control of Pollution) Act, 1974, to the#appellants#s-industry to carry out the aforesaid measures and remove the aforesaid deficiencies within such time as it thinks reasonable and proper.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
The directions will be issued by the #respondants# within two weeks from today.,['Fact'],,,,,,,,,,,,,,,,,,,,
"The matter will be listed in the first week of January, 2012 and the interim stay of the impugned judgment will continue till then.",['Other'],,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
