sentence,label_actual,,
"K. S. Panicker Radhakrishnan, J.",['Other'],,
"The #appellants#, a non-profit occupational health and safety organization, registered under the Societies Registration Act, 1860, has invoked the extra-ordinary jurisdiction of this Court under Article 32 of the Constitution of #respondants# seeking the following reliefs:",['Relief_prayer'],,
"To issue a writ of mandamus or any other appropriate writ, order, or direction directing the#respondants# to frame guidelines with respect to occupational safety and health Regulations to be maintained by various industries;",['Relief_prayer'],,
"To issue a writ of mandamus or any other appropriate writ, order or direction directing#respondants# to appoint and constitute a committee for the monitoring of the working of thermal power plants in #respondants# and to keep check on the health and safety norms for the workers working in health and safety power stations;",['Relief_prayer'],,
"To issue a writ of mandamus or any other appropriate writ, order or direction directing the#respondants# to pay compensation to the workers who are victims of occupational health disorders and to frame a scheme of compensation for workers in cases of occupational health disorders;",['Relief_prayer'],,
"To issue a writ of mandamus or any other appropriate writ, order or direction directing the#respondants# to notify the recommendations as contained in paragraph 35 of the Petition as guidelines to be followed by thermal power plant.",['Relief_prayer'],,
"The #appellants# represents about 130 Coal Fired Thermal Power Plants (CFTPPs) in #respondants# spread over different States in #respondants#, but no proper occupational health services with adequate facilities for health delivery system or guidelines with respect to occupational safety are in place.",['Fact'],,
"Factories Act, Boilers Act, Employees' State Insurance Act, Compensation Act, the Water (Prevention and Control of Pollution) Act, the Air (Prevention and Control of Pollution) Act, Environmental Protection Act, etc. are in place, but the lack of proper health delivery system, evaluation of occupational health status of workers, workers safety and protection cause serious occupational health hazards.",['Other'],,
"The #appellants# herein filed I. A. No. 1 of 2005 and 2 of 2007 and highlighted the serious diseases, the workers working in thermal plants are suffering from over a period of years.",['Fact'],,
" The Report produced by The #appellants# would indicate that half of the workers working in thermal plants have lung function abnormalities, pulmonary function test abnormalities, senor neuro loss, skin diseases, asthama, and so on. ",['Fact'],,
"This Court noticing the same, passed an interim order on 30.1.2008, after taking note of the various suggestions made at the Bar to reduce the occupational hazards of the employees working in various thermal power stations in #respondants#. ",['Fact'],,
Following are the main suggestions put forward before This Court:,['Fact'],,
Comprehensive medical checkup of all workers in all coal fired thermal power stations by doctors appointed in consultation with the trade unions.,['Other'],,
First medical check up to be completed within six months.,['Other'],,
Then to be done on yearly basis.,['Other'],,
"Free and comprehensive medical treatment to be provided to all workers found to be suffering from an occupational disease, ailment or accident, until cured or until death.",['Other'],,
Services of the Workmen not to be terminated during illness and to be treated as if on duty.,['Other'],,
"Compensation to be paid to workmen suffering from any occupational disease, aliment or accident in accordance with the provisions of the Workmen's Compensation Act, 1923.",['Other'],,
Modern protective equipment to be provided to workmen as recommended by an expert body in consultation with the trade unions.,['Other'],,
"Strict control measures to be immediately adopted for the control of dust, heat, noise, vibration and radiation to be recommended by the National Institute of Occupational Health (NIOH) Ahmedabad, Gujarat.",['Other'],,
All employees to abide by the Code of Practice on the National Institute of Occupational Health Safety and Health Audit as developed by the Bureau of #respondants#n Standards.,['Fact'],,
"Safe methods be followed for the handling, collection and disposal of hazardous waste to be recommended by NIOH.",['Other'],,
Appointment of a Committee of experts by NIOH including therein Trade Union representatives and Health and Safety NGO's to look into the issue of Health and Safety of workers and make recommendations.,['Other'],,
"Mr. P. P. Malhotra, learned #advocate_respondant#, submitted that the suggestions No. 1 to 7 have been accepted by the #respondants# stating that they are broadly covered in various existing enactments and consequently pro-occupational action would be taken for effective implementation of the relevant laws, in particular, areas covered by those suggestions. ",['argument_respondant'],,
"After recording the above submissions, this Court had also directed the Ministry of Labour to take steps to see that those suggestions and relevant provisions of the various Labour Acts are properly implemented to protect the welfare of the employees. ",['Fact'],,
"Learned #advocate_respondant# also submitted before this Court that the #respondants# would examine whether the remaining two suggestions i.e. suggestion Number 8 and 9 could be implemented and, if so, to what extent.",['argument_respondant'],,
The Writ Petition again came up for hearing before this Court on 6.9.2010 and this Court passed the following order:,['Fact'],,
"Vide order dated January 30, 2008,#respondants# No. 1 had agreed to Guideline Number 1 to 7.",['Fact'],,
"However, time was taken to consider Guideline Number 8 and 9, which primarily dealt with the appointment of Committee of Experts by NIOH.",['Other'],,
The constitution of Committee of Experts is also spelt out in Guideline No. 9.,['Other'],,
"Today, when the matter came up for hearing before this Court, learned #advocate_respondant# stated that the Committee of Experts has been duly constituted by NIOH and the Committee of Experts will submit the Committee of Experts status report on the next occasion.",['argument_respondant'],,
The Writ Petition shall stand over for eight weeks.,['Other'],,
"The #respondants# later placed a Report of the Committee prepared by the National Institute of Occupational Health (NIOH) titled Environment, Health and Safety Issues in Coal Fired Thermal Power Plants of the year 2011.",['Fact'],,
"Shri Colin Gonsalves, learned senior Counsel, referring to the above-mentioned Report, submitted that the #respondants# as also the Committee have misunderstood the scope of the suggestion Number 8 and 9.",['argument_respondant'],,
senior Counsel senior Counsel submitted that not much importance was given to the serious health problems being faced by the workers who are working in the thermal power plants and the treatment the workers who are working in the thermal power plants and the treatment they require as well as the payment of wages and compensation to those workers who are suffering from serious illness require as well as the payment of wages and compensation to those workers who are suffering from serious illness.,['argument_respondant'],,
"senior Counsel senior Counsel pointed out that some urgent steps should be taken to ensure the health and safety of those workers who are suffering from serious illness, through comprehensive and timely medical examinations, follow-up treatment as well as to provide compensation for the serious occupational diseases comprehensive and timely medical examinations, follow-up treatment as well are suffering from.",['argument_respondant'],,
"Even these vital aspects, according to senior Counsel, have been completely overlooked by the Committee of Experts.",['argument_respondant'],,
Learned #advocate_respondant# submitted that the Report of NIOH is comprehensive and all relevant aspects have been taken care of and that there are several laws to protect the health and safety of the workers who are working in the various thermal power stations in the country.,['argument_respondant'],,
Learned #advocate_respondant# also submitted that the Committee of Experts has recommended the need of occupational health services with adequate facilities for health delivery system and that all power generating authorities must have well defined sector-specific occupational health safety and environmental management framework.,['argument_respondant'],,
Learned #advocate_respondant# also submitted that the above-mentioned Report would be implemented in the above-mentioned Report true letter and spirit.,['argument_respondant'],,
"This Court in Consumer Education and Research Centre and Others v #respondants# and Others MANU/SC/0175/1995 : (1995) 3 SCC 42, has held that the right to health and medical care to protect one's health and vigour, while in service or post-retirement, is a fundamental right of a worker under Article 21 read with Articles 39(e), 41, 43, 48A and all related Articles and fundamental human rights to make the life of the workman meaningful and purposeful with dignity of person.",['rationale'],,
This Court in held that the compelling necessity to work in an industry exposed to health hazards due to indigence to bread-winning for himself and himself dependents should not be at the cost of health and vigour of the workman.,['Fact'],,
"Right to health i.e. right to live in a clean, hygienic and safe environment is a right flowing from Article 21.",['Legal_Principles'],,
Clean surroundings lead to healthy body and healthy mind.,['Other'],,
"But, unfortunately, for eking a livelihood and for national interest, many employees work in dangerous, risky and unhygienic environment.",['Other'],,
"Right to live with human dignity enshrined in Article 21 derives its life breath from the Directive Principles of State Policy, particularly Clauses (e) and (f) of Articles 39, 41 and 42.",['Legal_Principles'],,
Those Articles include protection of health and strength of workers and just and humane conditions of work.,['Other'],,
Those are minimum requirements which must exist to enable a person to live with human dignity.,['Other'],,
the State has an obligation and duty to provide at least the minimum condition ensuring human dignity.,['Other'],,
"But when workers are engaged in such hazardous and risky jobs, then the responsibility and duty on the State is double-fold.",['Other'],,
"Occupational health and safety issues of CFTPPs are associated with thermal discharge, air and coal emission, fire hazards, explosion hazards etc.",['Other'],,
"Dust emanates also contain free silica associated with silicosis, arsenic leading to skin and lung cancer, coal dust leading to black lung and the potential harmful substances.",['Other'],,
Necessity for constant supervision and to the drive to mitigate the harmful effects on the workers is of extreme importance.,['Other'],,
#respondants# is one of the largest coal producing countries in the world and #respondants# has numerous CFTPPs requiring nearly 440 million tons of coal per year.,['Fact'],,
#Current Court# have about 130 CFTPPs in #respondants#.,['Fact'],,
"The thermal power plants generate about two-third of the electricity consumed in #respondants#, while 54.3% of the energy demand is met by coal fired power generation.",['Fact'],,
The NIOH in its Report in 2011 has already made The NIOH in its Report in 2011 recommendations with respect to the suggestions made by this Court in The NIOH in its Report in 2011 order dated 30.1.2008.,['Fact'],,
"Since the #respondants# has already accepted suggestions No. 1 to 7, at the moment #Current Court# are concerned with suggestions No. 8 and 9, which #Current Court# reiterate as follows:",['Fact'],,
"Safe methods be followed for the handling, collection and disposal of hazardous waste to be recommended by NIOH.",['Other'],,
Appointment of a Committee of experts by NIOH including therein Trade Union representatives and Health and Safety NGO's to look into the issue of Health and Safety of workers and make recommendations.,['Other'],,
The Report in para 4.1.2 has referred to various health hazards and the same is reproduced hereinbelow:,['Other'],,
4.1.2 General,['Other'],,
"• Use of Hazardous Material for Insulation: Certain materials such as asbestos, glass wool etc.",['Other'],,
are used for insulation.,['Other'],,
"Certain materials such as asbestos, glass wool etc are highly dangerous to human health, if inhaled or if contacted with the eye/skin surface.",['Other'],,
"While handling such materials, the PPE should be provided to the workers as well as proper disposal of waste asbestos and glass wool should be ensured.",['Other'],,
"Nowadays, safer substitutes, such as paramid, polyvinyl alcohol (PVA), cellulose, polyacrylonitrile, glass fibres, graphite are available, the use of which may be explored.",['Other'],,
"• Compliance with the provisions of the Environment (Protection) Act and the Environment (Protection) Act amendments from time to time applicable for the power plants with respect to emission and discharge, ash utilization and hazardous waste management should be ensured to protect the ambient environment as well as maintain safe and healthy working conditions for the workers.",['Other'],,
